[TID: ] 2020-08-19 14:42:50.309 INFO  --- [PostProcessorRegistrationDelegate.java:335] [main] - Bean 'spring.datasource.druid-com.alibaba.druid.spring.boot.autoconfigure.properties.DruidStatProperties' of type [com.alibaba.druid.spring.boot.autoconfigure.properties.DruidStatProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[TID: ] 2020-08-19 14:42:50.319 INFO  --- [PostProcessorRegistrationDelegate.java:335] [main] - Bean 'advisor' of type [org.springframework.aop.support.RegexpMethodPointcutAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[TID: ] 2020-08-19 14:42:50.426 INFO  --- [DruidDataSourceAutoConfigure.java:56] [main] - Init DruidDataSource
[TID: ] 2020-08-19 14:42:50.931 INFO  --- [DruidDataSource.java:1010] [main] - {dataSource-1} inited
[TID: ] 2020-08-19 14:42:51.823 INFO  --- [ExecutorConfigurationSupport.java:181] [main] - Initializing ExecutorService 'applicationTaskExecutor'
[TID: ] 2020-08-19 14:42:51.926 INFO  --- [WelcomePageHandlerMapping.java:58] [main] - Adding welcome page template: index
[TID: ] 2020-08-19 14:42:52.333 INFO  --- [StartupInfoLogger.java:61] [main] - Started RfidReaderTest in 3.936 seconds (JVM running for 5.145)
[TID: ] 2020-08-19 14:42:52.767 INFO  --- [ExecutorConfigurationSupport.java:218] [SpringContextShutdownHook] - Shutting down ExecutorService 'applicationTaskExecutor'
[TID: ] 2020-08-19 14:42:52.769 INFO  --- [DruidDataSource.java:2003] [SpringContextShutdownHook] - {dataSource-1} closing ...
[TID: ] 2020-08-19 14:42:52.781 INFO  --- [DruidDataSource.java:2075] [SpringContextShutdownHook] - {dataSource-1} closed
